plant_id,plant_name,scientific_name,last_watered,recording_taken,soil_moisture,temperature,botanist_name,botanist_email,botanist_phone,city,country_name,latitude,longitude
27,Spathiphyllum,['Spathiphyllum (group)'],2026-01-27T13:28:17,2026-01-27T14:23:29.671777,96.69394034630739,16.737320969856828,Paul Wells,paul.wells@lnhm.co.uk,363.797.6625,Ruizmouth,Niger,21.876417,-31.458582
28,Croton,['Codiaeum variegatum'],2026-01-27T13:18:38,2026-01-27T14:23:30.227785,96.35217640018745,15.125959050602189,Katherine Hunt,katherine.hunt@lnhm.co.uk,+1-263-878-8630x362,Mallorymouth,Cocos (Keeling) Islands,9.707351,72.816634
29,Aloe Vera,['Aloe vera'],2026-01-27T14:03:58,2026-01-27T14:23:30.927211,98.87001232466281,12.863688529481777,Melissa Walker,melissa.walker@lnhm.co.uk,(762)519-1584,West Jacobfort,Djibouti,36.0357895,148.718821
30,Ficus Elastica,['Ficus elastica'],2026-01-27T13:00:43,2026-01-27T14:23:30.367592,95.34890675280899,14.974321326588969,Kathleen Alvarado,kathleen.alvarado@lnhm.co.uk,855.609.7979,Lake Nicolefort,Greece,47.3941165,-24.434894
31,Sansevieria Trifasciata,['Sansevieria trifasciata'],2026-01-26T14:44:18,2026-01-27T14:23:31.275949,18.591514393881454,15.608090341669453,Tara Shannon,tara.shannon@lnhm.co.uk,001-212-276-0013x63686,South Haley,China,-54.5020945,-127.026269
32,Philodendron Hederaceum,['Philodendron hederaceum'],2026-01-26T14:35:13,2026-01-27T14:23:32.010783,16.145782016634044,16.163733546892978,Jessica Benson,jessica.benson@lnhm.co.uk,(987)435-8129,Joanmouth,Armenia,-35.3487675,-80.319921
33,Schefflera Arboricola,['Schefflera arboricola'],2026-01-27T13:06:43,2026-01-27T14:23:33.390210,95.43073319524281,14.938399145637874,Adam Norman,adam.norman@lnhm.co.uk,001-769-826-0298,New Thomastown,Ethiopia,23.490859,-19.275947
34,Aglaonema Commutatum,['Aglaonema commutatum'],2026-01-27T13:00:30,2026-01-27T14:23:31.931372,95.45444218248176,16.052095557408144,James Eaton,james.eaton@lnhm.co.uk,+1-992-447-3474,Michaelborough,Bouvet Island (Bouvetoya),-23.513493,91.272237
35,Monstera Deliciosa,['Monstera deliciosa'],2026-01-26T14:46:12,2026-01-27T14:23:33.277386,16.215490265024627,16.03897122788357,Tara Quinn,tara.quinn@lnhm.co.uk,726-719-8082,New Shanechester,Tuvalu,-60.291449,-12.594265
36,Tacca Integrifolia,['Tacca integrifolia'],2026-01-27T13:26:21,2026-01-27T14:23:33.479828,96.57437143413173,16.490676037265263,Jacob Santos,jacob.santos@lnhm.co.uk,(462)367-2126,Port Jason,Singapore,50.7844445,177.490752
37,Psychopsis Papilio,,2026-01-27T14:12:50,2026-01-27T14:23:33.322259,99.37480830417881,13.380173085024484,Regina Payne,regina.payne@lnhm.co.uk,(400)246-5288x36436,New Diana,French Guiana,15.4607085,-46.580627
38,Saintpaulia Ionantha,['Saintpaulia ionantha'],2026-01-27T13:30:46,2026-01-27T14:23:34.222492,97.04732293849021,14.324611438869084,Andrea Cook,andrea.cook@lnhm.co.uk,931-621-4485x063,Schmidtfurt,Cook Islands,-24.459428,-132.113354
39,Gaillardia,['Gaillardia aestivalis'],2026-01-27T14:01:48,2026-01-27T14:23:34.266952,98.74878644923372,13.730780465102704,Jimmy Rhodes,jimmy.rhodes@lnhm.co.uk,+1-477-347-7068,South Erik,Malta,39.852798,-22.673609
40,Amaryllis,['Hippeastrum (group)'],2026-01-26T14:28:30,2026-01-27T14:23:33.590308,18.462509181818177,14.86033773779217,Briana Deleon,briana.deleon@lnhm.co.uk,605-468-2269x187,Greentown,Gibraltar,-19.2927425,-101.687203
41,Caladium Bicolor,['Caladium bicolor'],2026-01-27T14:08:54,2026-01-27T14:23:34.739636,99.17223718796993,13.092897550230678,Charles Hall,charles.hall@lnhm.co.uk,7126105026,Lake Christopherberg,Montenegro,24.7269645,-7.878364
42,Chlorophytum Comosum,"[""Chlorophytum comosum 'Vittatum'""]",2026-01-26T14:55:42,2026-01-27T14:23:34.351406,18.305269439071566,29.100666810157684,Dan Skinner,dan.skinner@lnhm.co.uk,361.810.9443,Davidfurt,Russian Federation,-79.460413,77.002058
44,Araucaria Heterophylla,['Araucaria heterophylla'],2026-01-27T13:55:27,2026-01-27T14:23:34.846205,98.35972186491739,23.903613402128784,Ariel English,ariel.english@lnhm.co.uk,549-638-9648x56913,Davidshire,Niue,55.3241195,145.548092
45,Begonia,"[""Begonia 'Art Hodes'""]",2026-01-27T13:12:19,2026-01-27T14:23:35.539819,95.87206581563707,16.836198160830342,Amber Ross,amber.ross@lnhm.co.uk,(768)410-3898x704,Davidchester,Iran,-60.5574125,-66.633609
46,Medinilla Magnifica,['Medinilla magnifica'],2026-01-27T13:56:30,2026-01-27T14:23:35.974614,98.47897604303087,15.287680055703536,Casey Hayden,casey.hayden@lnhm.co.uk,001-318-520-0734x47289,New Lori,Malta,52.915803,-138.082562
47,Calliandra Haematocephala,['Calliandra haematocephala'],2026-01-27T14:07:26,2026-01-27T14:23:35.488891,98.61501587571429,15.462533536030868,Amy Yu,amy.yu@lnhm.co.uk,606-477-9194,South Michael,Wallis and Futuna,28.275200,-60.488715
48,Zamioculcas Zamiifolia,['Zamioculcas zamiifolia'],2026-01-27T13:46:01,2026-01-27T14:23:36.476641,97.81021685728156,12.67792221720085,Donna Baxter,donna.baxter@lnhm.co.uk,(899)415-2737x4627,New Laurafurt,Russian Federation,73.4670145,85.125030
49,Crassula Ovata,['Crassula ovata'],2026-01-27T13:55:52,2026-01-27T14:23:36.721646,98.47831659780621,13.486368814375641,Crystal Goodman,crystal.goodman@lnhm.co.uk,585-264-3806x2321,Amandahaven,Saint Helena,54.8268295,-101.575928
50,Epipremnum Aureum,['Epipremnum aureum'],2026-01-26T14:52:24,2026-01-27T14:23:36.543710,17.392640286829277,14.982298520746397,Gina Meyer,gina.meyer@lnhm.co.uk,+1-414-616-0457x430,North Joshuatown,Montenegro,-73.7987385,-22.615264
